날짜,열차종,노선,여객수송실적
2020년 01월,KTX,경부선,3055250
2020년 01월,KTX,호남선,937494
2020년 01월,KTX,전라선,611654
2020년 01월,KTX,경전선,588507
2020년 01월,KTX,동해선,493506
2020년 01월,준고속,강릉선,427874
2020년 01월,새마을,경부선,507773
2020년 01월,새마을,호남선,178593
2020년 01월,새마을,전라선,67825
2020년 01월,새마을,중앙선,21880
2020년 01월,새마을,장항선,156197
2020년 01월,새마을,기타선,14459
2020년 01월,무궁화,경부선,1934642
2020년 01월,무궁화,호남선,399732
2020년 01월,무궁화,전라선,531115
2020년 01월,무궁화,중앙선,207625
2020년 01월,무궁화,장항선,407859
2020년 01월,무궁화,태백선,175900
2020년 01월,무궁화,영동선,73178
2020년 01월,무궁화,충북선,210257
2020년 01월,무궁화,경북선,23829
2020년 01월,무궁화,대구선,30847
2020년 01월,무궁화,동해남부선,322417
2020년 01월,무궁화,동해선,15347
2020년 01월,무궁화,경전선,135584
2020년 01월,무궁화,기타선,0
2020년 01월,통근열차,경원선,0
2020년 01월,통근열차,호남선,11155
2020년 02월,KTX,경부선,1659920
2020년 02월,KTX,호남선,537043
2020년 02월,KTX,전라선,373167
2020년 02월,KTX,경전선,330878
2020년 02월,KTX,동해선,262055
2020년 02월,준고속,강릉선,239525
2020년 02월,새마을,경부선,263605
2020년 02월,새마을,호남선,100751
2020년 02월,새마을,전라선,38634
2020년 02월,새마을,중앙선,7564
2020년 02월,새마을,장항선,84720
2020년 02월,새마을,기타선,4844
2020년 02월,무궁화,경부선,1238149
2020년 02월,무궁화,호남선,252380
2020년 02월,무궁화,전라선,341603
2020년 02월,무궁화,중앙선,122141
2020년 02월,무궁화,장항선,255005
2020년 02월,무궁화,태백선,102378
2020년 02월,무궁화,영동선,37859
2020년 02월,무궁화,충북선,139020
2020년 02월,무궁화,경북선,11795
2020년 02월,무궁화,대구선,17266
2020년 02월,무궁화,동해남부선,200629
2020년 02월,무궁화,동해선,8448
2020년 02월,무궁화,경전선,79341
2020년 02월,무궁화,기타선,0
2020년 02월,통근열차,경원선,0
2020년 02월,통근열차,호남선,8118
2020년 03월,KTX,경부선,805037
2020년 03월,KTX,호남선,357673
2020년 03월,KTX,전라선,223938
2020년 03월,KTX,경전선,167939
2020년 03월,KTX,동해선,124697
2020년 03월,준고속,강릉선,147887
2020년 03월,새마을,경부선,130457
2020년 03월,새마을,호남선,70735
2020년 03월,새마을,전라선,22075
2020년 03월,새마을,중앙선,5344
2020년 03월,새마을,장항선,51353
2020년 03월,새마을,기타선,0
2020년 03월,무궁화,경부선,721687
2020년 03월,무궁화,호남선,184215
2020년 03월,무궁화,전라선,239901
2020년 03월,무궁화,중앙선,82300
2020년 03월,무궁화,장항선,179480
2020년 03월,무궁화,태백선,57080
2020년 03월,무궁화,영동선,19997
2020년 03월,무궁화,충북선,91752
2020년 03월,무궁화,경북선,5673
2020년 03월,무궁화,대구선,6984
2020년 03월,무궁화,동해남부선,100173
2020년 03월,무궁화,동해선,3786
2020년 03월,무궁화,경전선,51798
2020년 03월,무궁화,기타선,0
2020년 03월,통근열차,경원선,0
2020년 03월,통근열차,호남선,6597
2020년 04월,KTX,경부선,1172105
2020년 04월,KTX,호남선,454804
2020년 04월,KTX,전라선,292229
2020년 04월,KTX,경전선,247983
2020년 04월,KTX,동해선,196045
2020년 04월,준고속,강릉선,197383
2020년 04월,새마을,경부선,198715
2020년 04월,새마을,호남선,89293
2020년 04월,새마을,전라선,29282
2020년 04월,새마을,중앙선,8789
2020년 04월,새마을,장항선,70916
2020년 04월,새마을,기타선,0
2020년 04월,무궁화,경부선,980193
2020년 04월,무궁화,호남선,227790
2020년 04월,무궁화,전라선,299862
2020년 04월,무궁화,중앙선,115407
2020년 04월,무궁화,장항선,230731
2020년 04월,무궁화,태백선,76151
2020년 04월,무궁화,영동선,31928
2020년 04월,무궁화,충북선,120573
2020년 04월,무궁화,경북선,9583
2020년 04월,무궁화,대구선,12711
2020년 04월,무궁화,동해남부선,155702
2020년 04월,무궁화,동해선,6748
2020년 04월,무궁화,경전선,65238
2020년 04월,무궁화,기타선,0
2020년 04월,통근열차,경원선,0
2020년 04월,통근열차,호남선,7576
2020년 05월,KTX,경부선,1741482
2020년 05월,KTX,호남선,632791
2020년 05월,KTX,전라선,421837
2020년 05월,KTX,경전선,374282
2020년 05월,KTX,동해선,297122
2020년 05월,준고속,강릉선,287569
2020년 05월,새마을,경부선,305967
2020년 05월,새마을,호남선,124376
2020년 05월,새마을,전라선,43393
2020년 05월,새마을,중앙선,13407
2020년 05월,새마을,장항선,104524
2020년 05월,새마을,기타선,0
2020년 05월,무궁화,경부선,1325820
2020년 05월,무궁화,호남선,301483
2020년 05월,무궁화,전라선,392935
2020년 05월,무궁화,중앙선,155181
2020년 05월,무궁화,장항선,307777
2020년 05월,무궁화,태백선,100647
2020년 05월,무궁화,영동선,50939
2020년 05월,무궁화,충북선,159577
2020년 05월,무궁화,경북선,16560
2020년 05월,무궁화,대구선,20467
2020년 05월,무궁화,동해남부선,227211
2020년 05월,무궁화,동해선,10462
2020년 05월,무궁화,경전선,94490
2020년 05월,무궁화,기타선,0
2020년 05월,통근열차,경원선,0
2020년 05월,통근열차,호남선,10329
2020년 06월,KTX,경부선,1811557
2020년 06월,KTX,호남선,609134
2020년 06월,KTX,전라선,402894
2020년 06월,KTX,경전선,374651
2020년 06월,KTX,동해선,309359
2020년 06월,준고속,강릉선,291789
2020년 06월,새마을,경부선,301077
2020년 06월,새마을,호남선,115863
2020년 06월,새마을,전라선,39417
2020년 06월,새마을,중앙선,12624
2020년 06월,새마을,장항선,100344
2020년 06월,새마을,기타선,0
2020년 06월,무궁화,경부선,1309847
2020년 06월,무궁화,호남선,285273
2020년 06월,무궁화,전라선,364655
2020년 06월,무궁화,중앙선,151275
2020년 06월,무궁화,장항선,300945
2020년 06월,무궁화,태백선,97208
2020년 06월,무궁화,영동선,49908
2020년 06월,무궁화,충북선,162116
2020년 06월,무궁화,경북선,16360
2020년 06월,무궁화,대구선,20878
2020년 06월,무궁화,동해남부선,227198
2020년 06월,무궁화,동해선,10255
2020년 06월,무궁화,경전선,93144
2020년 06월,무궁화,기타선,0
2020년 06월,통근열차,경원선,0
2020년 06월,통근열차,호남선,10258
2020년 07월,KTX,경부선,2094858
2020년 07월,KTX,호남선,606975
2020년 07월,KTX,전라선,443923
2020년 07월,KTX,경전선,424360
2020년 07월,KTX,동해선,353498
2020년 07월,준고속,강릉선,361737
2020년 07월,새마을,경부선,336711
2020년 07월,새마을,호남선,122924
2020년 07월,새마을,전라선,43159
2020년 07월,새마을,중앙선,14549
2020년 07월,새마을,장항선,114202
2020년 07월,새마을,기타선,0
2020년 07월,무궁화,경부선,1400948
